fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha
2018-01-01,8058X,OLIVA,VALENCIA,5,"15,4","0,0","10,8",06:40,"19,9",13:30,29,"4,4","13,9",23:10
2018-01-02,8058X,OLIVA,VALENCIA,5,"15,9","0,0","12,4",05:50,"19,4",14:40,30,"4,7","24,4",12:10
2018-01-03,8058X,OLIVA,VALENCIA,5,"17,8","0,0","14,3",05:10,"21,4",12:40,29,"5,0","14,2",19:40
2018-01-04,8058X,OLIVA,VALENCIA,5,"19,2","0,0","15,4",06:00,"23,0",13:30,30,"3,3","15,8",21:30
2018-01-05,8058X,OLIVA,VALENCIA,5,"14,4","0,0","8,5",23:59,"20,4",13:50,27,"2,2","12,5",10:30
2018-01-06,8058X,OLIVA,VALENCIA,5,"10,5","4,4","5,9",03:40,"15,1",16:30,99,"0,8","8,6",20:50
2018-01-07,8058X,OLIVA,VALENCIA,5,"9,0","0,0","4,7",08:00,"13,2",13:10,27,"0,8","9,7",03:50
2018-01-08,8058X,OLIVA,VALENCIA,5,"8,4","0,0","3,7",07:40,"13,1",13:00,28,"0,8","4,7",10:40
2018-01-09,8058X,OLIVA,VALENCIA,5,"9,7","1,9","4,0",03:00,"15,4",14:40,28,"2,2","9,4",12:50
2018-01-10,8058X,OLIVA,VALENCIA,5,"12,4","0,1","8,0",01:00,"16,7",12:30,27,"2,8","13,9",14:20
2018-01-11,8058X,OLIVA,VALENCIA,5,"11,4","0,0","8,3",05:50,"14,6",14:30,28,"3,9","15,3",13:10
2018-01-12,8058X,OLIVA,VALENCIA,5,"11,4","0,0","6,2",20:00,"16,6",14:00,99,"1,7","7,8",Varias
2018-01-13,8058X,OLIVA,VALENCIA,5,"8,0","0,0","2,9",07:30,"13,0",12:10,99,"0,8","3,6",23:30
2018-01-14,8058X,OLIVA,VALENCIA,5,"11,2","0,0","7,2",23:59,"15,3",13:50,30,"2,5","9,7",06:00
2018-01-15,8058X,OLIVA,VALENCIA,5,"10,2","0,0","6,5",20:50,"14,0",13:30,27,"1,1","6,1",23:00
2018-01-16,8058X,OLIVA,VALENCIA,5,"15,0","0,0","8,5",02:20,"21,6",14:50,28,"2,5","13,1",21:40
2018-01-17,8058X,OLIVA,VALENCIA,5,"15,2","0,0","10,0",23:59,"20,4",13:00,26,"1,9","9,7",10:10
2018-01-18,8058X,OLIVA,VALENCIA,5,"10,1","0,0","5,3",05:50,"14,9",13:00,12,"0,8","4,2",17:30
2018-01-19,8058X,OLIVA,VALENCIA,5,"10,7","0,0","6,1",06:40,"15,3",14:20,19,"0,3","3,3",09:40
2018-01-20,8058X,OLIVA,VALENCIA,5,"13,4","0,0","6,0",06:20,"20,9",14:30,30,"2,5","13,3",23:59
2018-01-21,8058X,OLIVA,VALENCIA,5,"19,5","0,0","15,0",04:40,"24,0",14:40,28,"3,3","12,8",05:20
2018-01-22,8058X,OLIVA,VALENCIA,5,"17,1","0,0","11,2",20:00,"23,0",11:50,27,"0,8","7,8",02:30
2018-01-23,8058X,OLIVA,VALENCIA,5,"12,5","0,0","7,5",23:59,"17,5",10:50,10,"1,4","5,3",15:40
2018-01-24,8058X,OLIVA,VALENCIA,5,"10,2","0,0","4,6",06:30,"15,7",14:40,10,"1,1","3,6",12:40
2018-01-25,8058X,OLIVA,VALENCIA,5,"10,9","1,1","8,0",08:00,"13,8",16:00,29,"1,1","6,7",21:30
2018-01-26,8058X,OLIVA,VALENCIA,5,"10,1","4,6","7,3",10:00,"12,9",00:50,28,"3,3","11,7",06:40
2018-01-27,8058X,OLIVA,VALENCIA,5,"10,4","32,2","7,1",05:00,"13,6",13:20,06,"3,1","16,7",23:20
2018-01-28,8058X,OLIVA,VALENCIA,5,"13,2","14,4","10,8",06:20,"15,6",11:50,06,"4,4","19,2",05:50
2018-01-29,8058X,OLIVA,VALENCIA,5,"10,3","0,0","6,2",23:59,"14,4",14:20,04,"2,2","6,9",00:40
2018-01-30,8058X,OLIVA,VALENCIA,5,"8,6","0,0","3,6",07:00,"13,5",11:20,09,"1,4","3,6",13:30
2018-01-31,8058X,OLIVA,VALENCIA,5,"10,0","0,0","6,3",05:10,"13,7",11:30,99,"1,4","5,3",17:40
2018-02-01,8058X,OLIVA,VALENCIA,5,"12,4","28,0","7,0",07:40,"17,8",12:40,04,"1,9","10,8",21:40
2018-02-02,8058X,OLIVA,VALENCIA,5,"6,2","10,3","3,6",23:30,"8,7",16:30,03,"4,4","13,1",06:50
2018-02-03,8058X,OLIVA,VALENCIA,5,"9,1","0,0","3,9",00:10,"14,3",13:40,27,"3,6","12,2",09:50
2018-02-04,8058X,OLIVA,VALENCIA,5,"9,4","2,3","7,7",21:50,"11,1",13:50,28,"1,4","6,9",01:10
2018-02-05,8058X,OLIVA,VALENCIA,5,"8,8","9,9","6,2",23:59,"11,5",15:00,27,"1,9","6,7",17:30
2018-02-06,8058X,OLIVA,VALENCIA,5,"6,5","12,5","5,0",22:00,"8,0",15:10,33,"2,2","8,3",20:00
2018-02-07,8058X,OLIVA,VALENCIA,5,"7,8","0,0","4,8",Varias,"10,9",13:00,28,"1,7","8,6",03:40
2018-02-08,8058X,OLIVA,VALENCIA,5,"6,4","0,7","1,8",07:20,"11,0",13:30,36,"1,1","5,8",10:20
2018-02-09,8058X,OLIVA,VALENCIA,5,"7,4","0,0","3,4",07:00,"11,3",14:00,27,"1,7","8,1",20:00
2018-02-10,8058X,OLIVA,VALENCIA,5,"8,5","0,0","5,2",20:40,"11,8",11:10,99,"2,2","9,4",Varias
