fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2018-01-01,8293X,XÀTIVA,VALENCIA,88,"13,8","0,0","8,2",07:50,"19,5",12:40,26,"4,2","15,0",13:30,"7,8","1022,3",10,"1016,9",16
2018-01-02,8293X,XÀTIVA,VALENCIA,88,"15,6","0,0","11,1",04:50,"20,2",14:30,26,"4,4","15,8",02:00,"6,9","1020,6",10,"1017,2",15
2018-01-03,8293X,XÀTIVA,VALENCIA,88,"16,2","0,0","11,5",05:30,"21,0",15:00,23,"3,9","8,9",22:20,"5,3","1020,3",10,"1015,5",16
2018-01-04,8293X,XÀTIVA,VALENCIA,88,"16,0","0,0","10,6",07:30,"21,5",12:30,28,"4,2","15,0",15:40,"7,7","1017,3",00,"1009,6",24
2018-01-05,8293X,XÀTIVA,VALENCIA,88,"13,7","0,0","7,7",23:59,"19,7",14:20,27,"3,9","15,3",12:30,"7,9","1009,6",00,"996,0",24
2018-01-06,8293X,XÀTIVA,VALENCIA,88,"10,0","1,4","5,2",03:20,"14,7",15:20,24,"1,7","9,4",20:30,"1,2","996,0",00,"984,3",16
2018-01-07,8293X,XÀTIVA,VALENCIA,88,"9,6","0,0","4,5",07:50,"14,6",13:40,23,"1,4","8,3",00:40,"7,6","996,9",24,"987,1",01
2018-01-08,8293X,XÀTIVA,VALENCIA,88,"8,8","0,0","1,8",07:40,"15,8",15:20,26,"1,1","6,1",20:30,"7,5","1004,8",24,"996,7",00
2018-01-09,8293X,XÀTIVA,VALENCIA,88,"8,6","1,8","1,7",02:40,"15,5",15:00,24,"3,1","10,8",10:50,"7,1","1009,7",20,"1004,4",00
2018-01-10,8293X,XÀTIVA,VALENCIA,88,"12,4","0,0","8,0",02:00,"16,7",15:30,28,"4,4","18,6",11:50,"4,9","1008,9",24,"1006,0",05
2018-01-11,8293X,XÀTIVA,VALENCIA,88,"11,0","0,0","7,7",04:10,"14,4",15:10,26,"5,3","18,9",11:30,"7,5","1012,4",23,"1007,7",14
2018-01-12,8293X,XÀTIVA,VALENCIA,88,"10,2","0,0","2,9",07:20,"17,4",15:00,28,"1,9","10,0",01:50,"8,1","1014,6",10,"1010,8",15
2018-01-13,8293X,XÀTIVA,VALENCIA,88,"9,3","0,0","3,2",04:00,"15,4",15:30,24,"1,7","9,2",22:10,"3,0","1012,7",00,"1005,9",19
2018-01-14,8293X,XÀTIVA,VALENCIA,88,"10,7","0,0","6,2",23:00,"15,2",13:10,28,"2,8","14,7",02:20,"3,9","1010,8",24,"1006,2",15
2018-01-15,8293X,XÀTIVA,VALENCIA,88,"10,6","0,0","4,2",07:20,"17,1",15:00,23,"1,4","8,9",20:30,"8,0","1016,9",22,"1010,6",01
2018-01-16,8293X,XÀTIVA,VALENCIA,88,"14,9","0,0","7,5",06:50,"22,3",15:30,28,"3,6","12,2",11:10,"8,2","1016,5",00,"1011,4",15
2018-01-17,8293X,XÀTIVA,VALENCIA,88,"14,2","0,0","5,9",03:40,"22,6",15:00,24,"2,2","9,7",04:40,"8,2","1015,2",Varias,"1009,7",05
2018-01-18,8293X,XÀTIVA,VALENCIA,88,"12,3","0,0","5,1",05:40,"19,5",16:00,25,"1,7","6,7",06:10,,"1016,1",09,"1009,6",24
2018-01-19,8293X,XÀTIVA,VALENCIA,88,"12,0","0,0","5,3",07:30,"18,7",16:10,99,"1,1","5,3",22:50,"3,1","1012,3",23,"1007,5",15
2018-01-20,8293X,XÀTIVA,VALENCIA,88,"12,7","0,0","3,2",05:50,"22,2",15:00,25,"4,2","12,5",12:50,"8,3","1014,8",09,"1010,9",15
2018-01-21,8293X,XÀTIVA,VALENCIA,88,"19,3","0,0","13,3",23:59,"25,3",15:10,,,,,"8,3","1015,2",24,"1012,0",14
2018-01-22,8293X,XÀTIVA,VALENCIA,88,"16,8","0,0","7,3",07:50,"26,4",14:10,,,,,"8,3","1015,2",00,"1010,9",16
2018-01-23,8293X,XÀTIVA,VALENCIA,88,"13,6","0,0","4,8",07:00,"22,5",15:30,,,,,"8,3","1018,3",23,"1014,4",14
2018-01-24,8293X,XÀTIVA,VALENCIA,88,"13,4","0,0","5,4",06:30,"21,3",14:30,03,"1,7","5,3",15:20,"8,4","1018,3",Varias,"1013,7",15
2018-01-25,8293X,XÀTIVA,VALENCIA,88,"11,6","0,0","3,8",08:00,"19,5",15:40,23,"1,4","6,4",20:30,"7,7","1014,1",00,"1004,3",23
2018-01-26,8293X,XÀTIVA,VALENCIA,88,"11,0","0,2","8,6",06:00,"13,5",16:10,28,"3,3","15,6",10:50,"0,2","1012,4",24,"1003,3",06
2018-01-27,8293X,XÀTIVA,VALENCIA,88,"9,8","62,4","4,9",07:40,"14,7",13:00,05,"3,6","13,6",21:00,"7,4","1018,6",22,"1012,3",03
2018-01-28,8293X,XÀTIVA,VALENCIA,88,"11,4","36,2","7,9",,"15,0",12:40,06,"6,1","22,8",06:40,"1,0","1025,9",23,"1016,8",05
2018-01-29,8293X,XÀTIVA,VALENCIA,88,"12,0","0,0","6,4",23:50,"17,7",15:00,01,"1,1","7,2",00:30,"5,5","1025,8",10,"1021,2",17
2018-01-30,8293X,XÀTIVA,VALENCIA,88,"10,5","0,0","3,6",07:40,"17,4",15:10,24,"1,7","5,3",03:40,"8,5","1022,0",00,"1016,3",17
